term,count
handling coronavirus,51200
coronavirus patient,51024
stayhome staysafe,50830
people need,50828
feel like,50254
need help,50227
got ta,50211
toll rises,50131
coronavirus est,50006
twitter android,49954
19 vía,49776
get tested,49441
coronavirus spreading,49300
slow spread,49259
lockdown coronavirus,49230
fighting coronavirus,49220
crise du,48827
deadly coronavirus,48749
got coronavirus,48371
doctors nurses,48259
people like,48182
crisis covid,48177
contagio coronavirus,48172
across country,48164
il faut,47856
bringing total,47790
da saúde,47756
da coronavirus,47741
number coronavirus,47616
even though,47604
19 positive,47551
response covid19,47540
wearing mask,47538
coronavirus latest,47530
home order,47459
crisis covid19,47404
puede ser,47351
china wuhan,47277
new covid19,47276
work home,47114
spread virus,47069
stop coronavirus,46986
tell us,46868
000 americans,46700
covid19 virus,46600
last 24,46553
health ministry,46434
vacuna coronavirus,46296
causa coronavirus,46174
covid19 amp,46055
global coronavirus,45956
ministerio salud,45841
virus covid19,45761
vía youtube,45713
last year,45698
das coronavirus,45692
uk government,45670
positif covid,45657
working home,45639
single day,45617
medical supplies,45617
wear masks,45479
supply chain,45379
real time,45367
read article,45142
coronavirus india,45023
cases rise,45018
19 em,45015
19 tests,44931
19 situation,44850
000 coronavirus,44749
covid coronavirus,44610
common sense,44425
high risk,44331
total deaths,44194
home coronavirus,44187
help fight,44156
please read,44115
young people,43888
whole world,43850
última hora,43810
di tengah,43747
front lines,43721
di rumah,43658
namo app,43655
04 2020,43520
one thing,43354
via franceinfo,43313
zero hedge,43238
19 case,43177
chinese virus,42986
2020 coronavirus,42926
el coronavirus,42840
of the,42765
latest news,42751
com coronavirus,42745
years ago,42719
johns hopkins,42603
see details,42599
contagios coronavirus,42556
abc news,42487
via nypost,42436
last night,42428
19 amp,42350
coronavirus world,42223
wuhan lab,42056
per day,42015
lockdown covid19,41987
people get,41886
despite coronavirus,41814
latest updates,41814
in the,41759
black people,41726
sounds like,41698
emergenza coronavirus,41573
take look,41538
joe biden,41529
experts say,41520
society know,41500
please take,41474
pandemic covid19,41473
come back,41309
world coronavirus,41297
global health,41231
via change,41209
wearing masks,41197
seems like,41157
ver si,41139
coronavirus va,41097
watch live,41044
test coronavirus,40972
towards cashless,40960
yang terdampak,40933
coronavirus like,40877
nhs staff,40809
com covid,40801
days ago,40732
via nyt,40706
05 2020,40674
covid19 response,40652
aujourd hui,40625
tested coronavirus,40579
anyone else,40481
wall street,40473
please share,40424
coronavirus et,40404
get covid,40401
toilet paper,40347
latest coronavirus,40281
coronavirus briefing,40215
coronavirus treatment,40182
200 000,40141
two months,40103
care home,40102
cada vez,40066
daily coronavirus,39981
testing positive,39886
19 related,39839
think coronavirus,39777
fallecidos coronavirus,39714
san francisco,39649
great job,39541
casos nuevos,39527
000 cases,39411
xi jinping,39267
health crisis,39236
chinese government,39221
19 patient,39216
gt virus,39214
outbreak coronavirus,39210
confirmed covid,39158
spreading coronavirus,39091
people infected,39034
memerangi covid,39021
000 dead,38980
covid2019 covid19,38960
américa latina,38942
000 000,38888
pandemic coronavirus,38739
social distance,38662
di wuhan,38615
covid19 coronavirusoutbreak,38604
good job,38539
sars flu,38502
impact covid19,38481
30 000,38440
fatality rate,38385
covid19 testing,38363
positivo covid,38358
number deaths,38227
new jersey,38160
coronavirus bill,38048
long time,38039
covid19 covid2019,38026
coronavirus coverage,38023
penanganan covid,38017
salud pública,38015
propagación coronavirus,37998
china trump,37967
pacientes covid,37952
people still,37926
human rights,37774
details gt,37772
muertes covid,37703
combat coronavirus,37664
face au,37662
people tested,37661
confirmed case,37648
coronavirus would,37643
coronavirus situation,37604
self isolation,37579
conspiracy theories,37569
mundo coronavirus,37512
covid19 sarscov2,37478
died covid19,37464
19 spread,37441
est une,37352
19 impact,37238
affected coronavirus,37225
40 000,37206
deliver copy,37154
last delivered,37151
deaths reported,37128
pasien covid,36820
não tem,36813
coronavirus confirmed,36810
thank god,36776
covid2019 coronavirus,36764
coronavirus país,36758
intensive care,36751
chinese coronavirus,36732
officials last,36587
che il,36562
je suis,36560
cases new,36546
coronavirus puede,36528
copy officials,36444
back normal,36415
home stay,36389
relief fund,36305
frente coronavirus,36295
infectados coronavirus,36281
coronavirus threat,36274
coronavirus méxico,36271
qu ils,36200
disease 2019,36180
covid19 positive,36178
friends family,36127
keep safe,36017
every single,35980
essential workers,35964
deaths covid,35943
president donald,35941
19 ini,35842
click link,35800
nouveaux cas,35758
emergencia sanitaria,35756
want know,35726
please stay,35713
dominic cummings,35700
कड उन,35675
self isolate,35581
combatir coronavirus,35544
coronavirus lockdowns,35509
nueva york,35500
via googlenews,35401
communist party,35381
coronavirus infected,35277
10 days,35224
number covid,35183
coronavirus going,35150
infectious disease,35114
whitehouse realdonaldtrump,35022
coronavirus health,35000
number people,34992
mass testing,34898
ceux qui,34838
rest world,34832
कर रह,34783
hand sanitizer,34753
get sick,34715
trump said,34613
mencegah penyebaran,34514
cura coronavirus,34469
reino unido,34327
number confirmed,34301
looking forward,34287
news via,34262
coronavirus people,34255
sul coronavirus,34200
catch coronavirus,34045
via nbcnews,33979
economic impact,33923
health experts,33832
lucha coronavirus,33751
health department,33750
coronavirus one,33748
covid19 please,33731
travel ban,33727
anthony fauci,33602
19 symptoms,33555
die covid,33507
di indonesia,33489
cause death,33433
coronavirus victims,33428
family members,33412
pm modi,33364
ils ont,33337
est ce,33315
house coronavirus,33202
epoch times,33137
masyarakat yang,33119
treat coronavirus,33102
state emergency,33095
flu china,33094
bakti sosial,33050
risk coronavirus,33017
could help,32985
sur coronavirus,32977
wabah covid,32859
premier league,32841
total confirmed,32837
qu on,32666
19 infection,32605
department health,32591
everyone else,32540
read coronavirus,32464
china virus,32412
coronavirus still,32407
supreme court,32378
time covid,32315
coronavirus get,32246
coronavirus aid,32222
coronavirus mundo,32188
coronavirus shutdown,32167
said coronavirus,32067
jesus spoke,32013
officials say,31986
coronavirus non,31945
covid19 death,31926
via usatoday,31849
coronavirus hoax,31834
help people,31810
us covid19,31776
19 treatment,31750
time covid19,31736
daily updates,31733
lot people,31722
fighting covid,31714
mainland china,31685
epidemia coronavirus,31677
update coronavirus,31633
realdonaldtrump trump,31613
going get,31606
combate ao,31601
19 covid19,31562
get covid19,31552
test covid,31523
60 000,31513
19 may,31504
número casos,31484
bible spoke,31454
lutte contre,31454
19 dan,31434
ce qui,31342
protective equipment,31337
covid19 via,31287
cas coronavirus,31258
hubei province,31236
test results,31224
home orders,31204
real estate,31174
heading towards,31146
say coronavirus,31111
et des,31110
coronavirus global,31103
covid19 stayathome,31101
casos sospechosos,31046
study finds,31015
since coronavirus,30962
dies covid,30956
us covid,30941
coronavirus hits,30926
help coronavirus,30896
coronavirus stayhome,30875
che non,30862
using coronavirus,30852
via ukchange,30826
get rid,30723
re going,30719
months ago,30624
dalam membantu,30613
000 muertos,30599
mr president,30590
amid covid19,30547
good morning,30508
know jesus,30500
common cold,30495
times app,30479
protect coronavirus,30419
george floyd,30400
coronavirus france,30400
dying coronavirus,30359
per coronavirus,30349
self quarantine,30327
safe stay,30315
man made,30279
corea sur,30279
cegah penyebaran,30189
today coronavirus,30143
coronavirus first,30072
pemerintah adalah,30039
deaths covid19,30025
salah satu,29981
one person,29974
sistema salud,29944
right thing,29932
19 yang,29923
contre covid,29899
chinese people,29894
19 could,29893
covid19 test,29863
give us,29828
safe coronavirus,29799
coronavirus chinese,29785
people think,29722
conspiracy theory,29718
makes sense,29644
press briefing,29610
covid19 vaccine,29582
coronavirus fight,29548
medical staff,29533
hit coronavirus,29492
ne pas,29464
first responders,29461
every time,29457
andrew cuomo,29447
qui ont,29440
people covid,29383
tested negative,29383
let get,29350
des coronavirus,29340
getting coronavirus,29317
cases total,29280
prevent coronavirus,29181
china reports,29123
business insider,29089
health amp,29071
relief bill,29038
au covid,29010
non si,28974
coronavirus hospital,28922
per million,28898
cause du,28895
pacientes coronavirus,28890
affected covid,28881
kill coronavirus,28840
global economy,28805
cases china,28787
par coronavirus,28745
des masques,28740
battle coronavirus,28724
physical distancing,28681
positivos coronavirus,28670
take action,28660
death coronavirus,28616
coronavirus stay,28554
ce qu,28529
dans monde,28502
peut être,28497
coronavirus coronaviruspandemic,28479
testing kits,28468
dio positivo,28453
fighting covid19,28431
novo coronavírus,28414
ministry health,28413
80 000,28410
spanish flu,28403
live coronavirus,28348
500 000,28250
day coronavirus,28230
non essential,28216
2019 covid,28138
good thing,28104
confirmados coronavirus,28007
sosial untuk,27977
san diego,27871
ministro salud,27864
realdonaldtrump potus,27796
covid19 coronaviruspandemic,27746
ve got,27745
fact check,27734
great news,27689
could get,27663
diagnosed coronavirus,27623
travel restrictions,27616
penyebaran virus,27514
treat covid,27443
miedo coronavirus,27382
van het,27350
people covid19,27320
next year,27245
virus spread,27211
good luck,27157
infection rate,27128
coronavirus really,27076
stayhome covid19,27064
updates coronavirus,27049
contain coronavirus,26991
qui est,26981
caused coronavirus,26976
new yorkers,26975
coronavirus scare,26971
reports first,26970
key workers,26958
coronavirusoutbreak coronavirus,26953
last month,26905
thousands people,26900
pmoindia narendramodi,26872
outbreak via,26773
ont été,26749
outbreak china,26735
mike pence,26649
across world,26602
mata coronavirus,26579
coronavirus numbers,26526
coronavirus please,26523
march 2020,26512
stimulus package,26460
make sense,26457
medidas prevención,26455
crisis sanitaria,26426
debe ser,26422
evitar propagación,26322
corona covid,26289
coronavirus venezuela,26279
people would,26273
memorial day,26264
vía el_pais,26262
confirms first,26259
first covid,26246
health system,26176
health safety,26162
mata rantai,26161
contagiados coronavirus,26161
new confirmed,26053
2019 novel,26049
north korea,26047
je ne,26033
coronavirus emergency,26009
deadly virus,26003
realdonaldtrump coronavirus,25987
death rates,25961
coronavirus thing,25900
passed away,25899
working hard,25865
nancy pelosi,25818
pandemic response,25812
épidémie coronavirus,25781
15 000,25751
il virus,25737
symptoms coronavirus,25685
coronavirus brasil,25648
vaccine coronavirus,25607
cancelled due,25518
coronavirus cure,25511
save us,25426
article amp,25402
cbc news,25400
virus outbreak,25367
saudi arabia,25356
tema coronavirus,25321
contro il,25309
middle east,25309
suspected coronavirus,25295
beban masyarakat,25280
dengan tetap,25279
supply chains,25267
redes sociales,25205
ils sont,25156
li wenliang,25155
washing hands,25086
lt lt,25080
watch video,25021
síntomas coronavirus,24969
coronavirus got,24936
emergency coronavirus,24885
first death,24864
stay away,24746
dari wuhan,24745
people know,24698
coronavirus oms,24674
coronavirus come,24658
va ser,24641
disease covid,24589
go home,24523
stay healthy,24512
vous avez,24493
kebijakan pemerintah,24445
crisis via,24442
flatten curve,24412
next coronavirus,24387
mit dem,24332
truth coronavirus,24318
coronavirus panic,24315
coronavirus real,24210
possible coronavirus,24138
via lemondefr,24067
infectious diseases,24044
please stop,23994
relief package,23961
flights china,23953
infected people,23924
italy coronavirus,23914
coronavirus shit,23890
coronavirus travel,23889
coronavirus says,23769
du confinement,23751
go work,23634
fear coronavirus,23584
cover up,23521
ringankan beban,23513
recovered coronavirus,23388
03 2020,23136
coronavirus many,23034
many cases,23024
coronavirus da,22975
coronavirus italy,22841
ci sono,22675
tni polri,22435
warns coronavirus,22408
swine flu,22316
abril 2020,22129
rantai covid,22126
untuk ringankan,21757
signing support,21732
gelar bakti,21574
himbauan pemerintah,21532
support usps,21427
coronavirus kills,21408
19 siagalawancovid19,21336
trying times,21257
usps deliver,21176
virus china,21119
